𩭯	U+29B6F (U+29B6F)	f0a9adaf
𩽓	U+29F53 (U+29F53)	f0a9bd93
𩽔	U+29F54 (U+29F54)	f0a9bd94
𩽕	U+29F55 (U+29F55)	f0a9bd95
𩽖	U+29F56 (U+29F56)	f0a9bd96
𩽗	U+29F57 (U+29F57)	f0a9bd97
𩽘	U+29F58 (U+29F58)	f0a9bd98
𩽙	U+29F59 (U+29F59)	f0a9bd99
𩽚	U+29F5A (U+29F5A)	f0a9bd9a
𩽛	U+29F5B (U+29F5B)	f0a9bd9b
𩽜	U+29F5C (U+29F5C)	f0a9bd9c
𩽝	U+29F5D (U+29F5D)	f0a9bd9d
𩽞	U+29F5E (U+29F5E)	f0a9bd9e
𩽟	U+29F5F (U+29F5F)	f0a9bd9f
𩽠	U+29F60 (U+29F60)	f0a9bda0
𩽡	U+29F61 (U+29F61)	f0a9bda1
𩽢	U+29F62 (U+29F62)	f0a9bda2
𩽣	U+29F63 (U+29F63)	f0a9bda3
𩽤	U+29F64 (U+29F64)	f0a9bda4
𩽥	U+29F65 (U+29F65)	f0a9bda5
𩽦	U+29F66 (U+29F66)	f0a9bda6
𩽧	U+29F67 (U+29F67)	f0a9bda7
𩽨	U+29F68 (U+29F68)	f0a9bda8
𩽩	U+29F69 (U+29F69)	f0a9bda9
𩽪	U+29F6A (U+29F6A)	f0a9bdaa
𩽫	U+29F6B (U+29F6B)	f0a9bdab
𩽬	U+29F6C (U+29F6C)	f0a9bdac
𩽭	U+29F6D (U+29F6D)	f0a9bdad
𩽮	U+29F6E (U+29F6E)	f0a9bdae
