NULL (U+0000)	00
𫜗	U+2B717 (U+2B717)	f0ab9c97
𫜘	U+2B718 (U+2B718)	f0ab9c98
𫜙	U+2B719 (U+2B719)	f0ab9c99
𫜚	U+2B71A (U+2B71A)	f0ab9c9a
𫜛	U+2B71B (U+2B71B)	f0ab9c9b
𫜜	U+2B71C (U+2B71C)	f0ab9c9c
𫜝	U+2B71D (U+2B71D)	f0ab9c9d
𫜞	U+2B71E (U+2B71E)	f0ab9c9e
𫜟	U+2B71F (U+2B71F)	f0ab9c9f
𫜠	U+2B720 (U+2B720)	f0ab9ca0
𫜡	U+2B721 (U+2B721)	f0ab9ca1
𫜢	U+2B722 (U+2B722)	f0ab9ca2
𫜣	U+2B723 (U+2B723)	f0ab9ca3
𫜤	U+2B724 (U+2B724)	f0ab9ca4
𫜥	U+2B725 (U+2B725)	f0ab9ca5
𫜦	U+2B726 (U+2B726)	f0ab9ca6
𫜧	U+2B727 (U+2B727)	f0ab9ca7
𫜨	U+2B728 (U+2B728)	f0ab9ca8
𫜩	U+2B729 (U+2B729)	f0ab9ca9
𫜪	U+2B72A (U+2B72A)	f0ab9caa
𫜫	U+2B72B (U+2B72B)	f0ab9cab
𫜬	U+2B72C (U+2B72C)	f0ab9cac
𫜭	U+2B72D (U+2B72D)	f0ab9cad
𫜮	U+2B72E (U+2B72E)	f0ab9cae
𫜯	U+2B72F (U+2B72F)	f0ab9caf
𫜰	U+2B730 (U+2B730)	f0ab9cb0
𫜱	U+2B731 (U+2B731)	f0ab9cb1
𫜲	U+2B732 (U+2B732)	f0ab9cb2
𫜳	U+2B733 (U+2B733)	f0ab9cb3
𫜴	<CJK Ideograph Extension C, Last> (U+2B734)	f0ab9cb4
𫝀	<CJK Ideograph Extension D, First> (U+2B740)	f0ab9d80
𫝁	U+2B741 (U+2B741)	f0ab9d81
𫝂	U+2B742 (U+2B742)	f0ab9d82
𫝃	U+2B743 (U+2B743)	f0ab9d83
𫝄	U+2B744 (U+2B744)	f0ab9d84
𫝅	U+2B745 (U+2B745)	f0ab9d85
𫝆	U+2B746 (U+2B746)	f0ab9d86
𫝇	U+2B747 (U+2B747)	f0ab9d87
𫝈	U+2B748 (U+2B748)	f0ab9d88
𫝉	U+2B749 (U+2B749)	f0ab9d89
𫝊	U+2B74A (U+2B74A)	f0ab9d8a
𫝋	U+2B74B (U+2B74B)	f0ab9d8b
𫝌	U+2B74C (U+2B74C)	f0ab9d8c
𫝍	U+2B74D (U+2B74D)	f0ab9d8d
𫝎	U+2B74E (U+2B74E)	f0ab9d8e
𫝏	U+2B74F (U+2B74F)	f0ab9d8f
𫝐	U+2B750 (U+2B750)	f0ab9d90
𫝑	U+2B751 (U+2B751)	f0ab9d91
𫝒	U+2B752 (U+2B752)	f0ab9d92
𫝓	U+2B753 (U+2B753)	f0ab9d93
𫝔	U+2B754 (U+2B754)	f0ab9d94
𫝕	U+2B755 (U+2B755)	f0ab9d95
𫝖	U+2B756 (U+2B756)	f0ab9d96
𫝗	U+2B757 (U+2B757)	f0ab9d97
𫝘	U+2B758 (U+2B758)	f0ab9d98
𫝙	U+2B759 (U+2B759)	f0ab9d99
𫝚	U+2B75A (U+2B75A)	f0ab9d9a
𫝛	U+2B75B (U+2B75B)	f0ab9d9b
𫝜	U+2B75C (U+2B75C)	f0ab9d9c
𫝝	U+2B75D (U+2B75D)	f0ab9d9d
𫝞	U+2B75E (U+2B75E)	f0ab9d9e
𫝟	U+2B75F (U+2B75F)	f0ab9d9f
𫝠	U+2B760 (U+2B760)	f0ab9da0
𫝡	U+2B761 (U+2B761)	f0ab9da1
𫝢	U+2B762 (U+2B762)	f0ab9da2
𫝣	U+2B763 (U+2B763)	f0ab9da3
𫝤	U+2B764 (U+2B764)	f0ab9da4
𫝥	U+2B765 (U+2B765)	f0ab9da5
𫝦	U+2B766 (U+2B766)	f0ab9da6
𫝧	U+2B767 (U+2B767)	f0ab9da7
𫝨	U+2B768 (U+2B768)	f0ab9da8
𫝩	U+2B769 (U+2B769)	f0ab9da9
𫝪	U+2B76A (U+2B76A)	f0ab9daa
𫝫	U+2B76B (U+2B76B)	f0ab9dab
𫝬	U+2B76C (U+2B76C)	f0ab9dac
𫝭	U+2B76D (U+2B76D)	f0ab9dad
𫝮	U+2B76E (U+2B76E)	f0ab9dae
𫝯	U+2B76F (U+2B76F)	f0ab9daf
𫝰	U+2B770 (U+2B770)	f0ab9db0
𫝱	U+2B771 (U+2B771)	f0ab9db1
𫝲	U+2B772 (U+2B772)	f0ab9db2
𫝳	U+2B773 (U+2B773)	f0ab9db3
𫝴	U+2B774 (U+2B774)	f0ab9db4
𫝵	U+2B775 (U+2B775)	f0ab9db5
𫝶	U+2B776 (U+2B776)	f0ab9db6
𫝷	U+2B777 (U+2B777)	f0ab9db7
𫝸	U+2B778 (U+2B778)	f0ab9db8
𫝹	U+2B779 (U+2B779)	f0ab9db9
𫝺	U+2B77A (U+2B77A)	f0ab9dba
𫝻	U+2B77B (U+2B77B)	f0ab9dbb
𫝼	U+2B77C (U+2B77C)	f0ab9dbc
𫝽	U+2B77D (U+2B77D)	f0ab9dbd
𫝾	U+2B77E (U+2B77E)	f0ab9dbe
𫝿	U+2B77F (U+2B77F)	f0ab9dbf
𫞀	U+2B780 (U+2B780)	f0ab9e80
𫞁	U+2B781 (U+2B781)	f0ab9e81
𫞂	U+2B782 (U+2B782)	f0ab9e82
𫞃	U+2B783 (U+2B783)	f0ab9e83
𫞄	U+2B784 (U+2B784)	f0ab9e84
𫞅	U+2B785 (U+2B785)	f0ab9e85
𫞆	U+2B786 (U+2B786)	f0ab9e86
𫞇	U+2B787 (U+2B787)	f0ab9e87
𫞈	U+2B788 (U+2B788)	f0ab9e88
𫞉	U+2B789 (U+2B789)	f0ab9e89
𫞊	U+2B78A (U+2B78A)	f0ab9e8a
𫞋	U+2B78B (U+2B78B)	f0ab9e8b
𫞌	U+2B78C (U+2B78C)	f0ab9e8c
𫞍	U+2B78D (U+2B78D)	f0ab9e8d
𫞎	U+2B78E (U+2B78E)	f0ab9e8e
𫞏	U+2B78F (U+2B78F)	f0ab9e8f
𫞐	U+2B790 (U+2B790)	f0ab9e90
𫞑	U+2B791 (U+2B791)	f0ab9e91
𫞒	U+2B792 (U+2B792)	f0ab9e92
𫞓	U+2B793 (U+2B793)	f0ab9e93
𫞔	U+2B794 (U+2B794)	f0ab9e94
𫞕	U+2B795 (U+2B795)	f0ab9e95
𫞖	U+2B796 (U+2B796)	f0ab9e96
𫞗	U+2B797 (U+2B797)	f0ab9e97
𫞘	U+2B798 (U+2B798)	f0ab9e98
𫞙	U+2B799 (U+2B799)	f0ab9e99
𫞚	U+2B79A (U+2B79A)	f0ab9e9a
𫞛	U+2B79B (U+2B79B)	f0ab9e9b
𫞜	U+2B79C (U+2B79C)	f0ab9e9c
𫞝	U+2B79D (U+2B79D)	f0ab9e9d
𫞞	U+2B79E (U+2B79E)	f0ab9e9e
𫞟	U+2B79F (U+2B79F)	f0ab9e9f
𫞠	U+2B7A0 (U+2B7A0)	f0ab9ea0
𫞡	U+2B7A1 (U+2B7A1)	f0ab9ea1
𫞢	U+2B7A2 (U+2B7A2)	f0ab9ea2
𫞣	U+2B7A3 (U+2B7A3)	f0ab9ea3
𫞤	U+2B7A4 (U+2B7A4)	f0ab9ea4
𫞥	U+2B7A5 (U+2B7A5)	f0ab9ea5
𫞦	U+2B7A6 (U+2B7A6)	f0ab9ea6
𫞧	U+2B7A7 (U+2B7A7)	f0ab9ea7
𫞨	U+2B7A8 (U+2B7A8)	f0ab9ea8
𫞩	U+2B7A9 (U+2B7A9)	f0ab9ea9
𫞪	U+2B7AA (U+2B7AA)	f0ab9eaa
𫞫	U+2B7AB (U+2B7AB)	f0ab9eab
𫞬	U+2B7AC (U+2B7AC)	f0ab9eac
𫞭	U+2B7AD (U+2B7AD)	f0ab9ead
𫞮	U+2B7AE (U+2B7AE)	f0ab9eae
𫞯	U+2B7AF (U+2B7AF)	f0ab9eaf
𫞰	U+2B7B0 (U+2B7B0)	f0ab9eb0
𫞱	U+2B7B1 (U+2B7B1)	f0ab9eb1
𫞲	U+2B7B2 (U+2B7B2)	f0ab9eb2
𫞳	U+2B7B3 (U+2B7B3)	f0ab9eb3
𫞴	U+2B7B4 (U+2B7B4)	f0ab9eb4
𫞵	U+2B7B5 (U+2B7B5)	f0ab9eb5
𫞶	U+2B7B6 (U+2B7B6)	f0ab9eb6
𫞷	U+2B7B7 (U+2B7B7)	f0ab9eb7
𫞸	U+2B7B8 (U+2B7B8)	f0ab9eb8
𫞹	U+2B7B9 (U+2B7B9)	f0ab9eb9
𫞺	U+2B7BA (U+2B7BA)	f0ab9eba
𫞻	U+2B7BB (U+2B7BB)	f0ab9ebb
𫞼	U+2B7BC (U+2B7BC)	f0ab9ebc
𫞽	U+2B7BD (U+2B7BD)	f0ab9ebd
𫞾	U+2B7BE (U+2B7BE)	f0ab9ebe
𫞿	U+2B7BF (U+2B7BF)	f0ab9ebf
𫟀	U+2B7C0 (U+2B7C0)	f0ab9f80
𫟁	U+2B7C1 (U+2B7C1)	f0ab9f81
𫟂	U+2B7C2 (U+2B7C2)	f0ab9f82
𫟃	U+2B7C3 (U+2B7C3)	f0ab9f83
𫟄	U+2B7C4 (U+2B7C4)	f0ab9f84
𫟅	U+2B7C5 (U+2B7C5)	f0ab9f85
𫟆	U+2B7C6 (U+2B7C6)	f0ab9f86
𫟇	U+2B7C7 (U+2B7C7)	f0ab9f87
𫟈	U+2B7C8 (U+2B7C8)	f0ab9f88
𫟉	U+2B7C9 (U+2B7C9)	f0ab9f89
𫟊	U+2B7CA (U+2B7CA)	f0ab9f8a
𫟋	U+2B7CB (U+2B7CB)	f0ab9f8b
𫟌	U+2B7CC (U+2B7CC)	f0ab9f8c
𫟍	U+2B7CD (U+2B7CD)	f0ab9f8d
𫟎	U+2B7CE (U+2B7CE)	f0ab9f8e
𫟏	U+2B7CF (U+2B7CF)	f0ab9f8f
𫟐	U+2B7D0 (U+2B7D0)	f0ab9f90
𫟑	U+2B7D1 (U+2B7D1)	f0ab9f91
𫟒	U+2B7D2 (U+2B7D2)	f0ab9f92
𫟓	U+2B7D3 (U+2B7D3)	f0ab9f93
𫟔	U+2B7D4 (U+2B7D4)	f0ab9f94
𫟕	U+2B7D5 (U+2B7D5)	f0ab9f95
𫟖	U+2B7D6 (U+2B7D6)	f0ab9f96
𫟗	U+2B7D7 (U+2B7D7)	f0ab9f97
𫟘	U+2B7D8 (U+2B7D8)	f0ab9f98
𫟙	U+2B7D9 (U+2B7D9)	f0ab9f99
𫟚	U+2B7DA (U+2B7DA)	f0ab9f9a
𫟛	U+2B7DB (U+2B7DB)	f0ab9f9b
𫟜	U+2B7DC (U+2B7DC)	f0ab9f9c
𫟝	U+2B7DD (U+2B7DD)	f0ab9f9d
𫟞	U+2B7DE (U+2B7DE)	f0ab9f9e
𫟟	U+2B7DF (U+2B7DF)	f0ab9f9f
𫟠	U+2B7E0 (U+2B7E0)	f0ab9fa0
𫟡	U+2B7E1 (U+2B7E1)	f0ab9fa1
𫟢	U+2B7E2 (U+2B7E2)	f0ab9fa2
𫟣	U+2B7E3 (U+2B7E3)	f0ab9fa3
𫟤	U+2B7E4 (U+2B7E4)	f0ab9fa4
𫟥	U+2B7E5 (U+2B7E5)	f0ab9fa5
𫟦	U+2B7E6 (U+2B7E6)	f0ab9fa6
𫟧	U+2B7E7 (U+2B7E7)	f0ab9fa7
𫟨	U+2B7E8 (U+2B7E8)	f0ab9fa8
𫟩	U+2B7E9 (U+2B7E9)	f0ab9fa9
𫟪	U+2B7EA (U+2B7EA)	f0ab9faa
𫟫	U+2B7EB (U+2B7EB)	f0ab9fab
𫟬	U+2B7EC (U+2B7EC)	f0ab9fac
𫟭	U+2B7ED (U+2B7ED)	f0ab9fad
𫟮	U+2B7EE (U+2B7EE)	f0ab9fae
𫟯	U+2B7EF (U+2B7EF)	f0ab9faf
𫟰	U+2B7F0 (U+2B7F0)	f0ab9fb0
𫟱	U+2B7F1 (U+2B7F1)	f0ab9fb1
𫟲	U+2B7F2 (U+2B7F2)	f0ab9fb2
𫟳	U+2B7F3 (U+2B7F3)	f0ab9fb3
𫟴	U+2B7F4 (U+2B7F4)	f0ab9fb4
𫟵	U+2B7F5 (U+2B7F5)	f0ab9fb5
𫟶	U+2B7F6 (U+2B7F6)	f0ab9fb6
𫟷	U+2B7F7 (U+2B7F7)	f0ab9fb7
𫟸	U+2B7F8 (U+2B7F8)	f0ab9fb8
𫟹	U+2B7F9 (U+2B7F9)	f0ab9fb9
𫟺	U+2B7FA (U+2B7FA)	f0ab9fba
𫟻	U+2B7FB (U+2B7FB)	f0ab9fbb
𫟼	U+2B7FC (U+2B7FC)	f0ab9fbc
𫟽	U+2B7FD (U+2B7FD)	f0ab9fbd
𫟾	U+2B7FE (U+2B7FE)	f0ab9fbe
𫟿	U+2B7FF (U+2B7FF)	f0ab9fbf
𫠀	U+2B800 (U+2B800)	f0aba080
𫠁	U+2B801 (U+2B801)	f0aba081
𫠂	U+2B802 (U+2B802)	f0aba082
𫠃	U+2B803 (U+2B803)	f0aba083
𫠄	U+2B804 (U+2B804)	f0aba084
𫠅	U+2B805 (U+2B805)	f0aba085
𫠆	U+2B806 (U+2B806)	f0aba086
𫠇	U+2B807 (U+2B807)	f0aba087
𫠈	U+2B808 (U+2B808)	f0aba088
𫠉	U+2B809 (U+2B809)	f0aba089
𫠊	U+2B80A (U+2B80A)	f0aba08a
𫠋	U+2B80B (U+2B80B)	f0aba08b
𫠌	U+2B80C (U+2B80C)	f0aba08c
𫠍	U+2B80D (U+2B80D)	f0aba08d
𫠎	U+2B80E (U+2B80E)	f0aba08e
𫠏	U+2B80F (U+2B80F)	f0aba08f
𫠐	U+2B810 (U+2B810)	f0aba090
𫠑	U+2B811 (U+2B811)	f0aba091
𫠒	U+2B812 (U+2B812)	f0aba092
𫠓	U+2B813 (U+2B813)	f0aba093
𫠔	U+2B814 (U+2B814)	f0aba094
𫠕	U+2B815 (U+2B815)	f0aba095
𫠖	U+2B816 (U+2B816)	f0aba096
𫠗	U+2B817 (U+2B817)	f0aba097
𫠘	U+2B818 (U+2B818)	f0aba098
𫠙	U+2B819 (U+2B819)	f0aba099
𫠚	U+2B81A (U+2B81A)	f0aba09a
𫠛	U+2B81B (U+2B81B)	f0aba09b
𫠜	U+2B81C (U+2B81C)	f0aba09c
𫠝	<CJK Ideograph Extension D, Last> (U+2B81D)	f0aba09d
丽	CJK COMPATIBILITY IDEOGRAPH-2F800 (U+2F800)	f0afa080
丸	CJK COMPATIBILITY IDEOGRAPH-2F801 (U+2F801)	f0afa081
乁	CJK COMPATIBILITY IDEOGRAPH-2F802 (U+2F802)	f0afa082
𠄢	CJK COMPATIBILITY IDEOGRAPH-2F803 (U+2F803)	f0afa083
你	CJK COMPATIBILITY IDEOGRAPH-2F804 (U+2F804)	f0afa084
侮	CJK COMPATIBILITY IDEOGRAPH-2F805 (U+2F805)	f0afa085
侻	CJK COMPATIBILITY IDEOGRAPH-2F806 (U+2F806)	f0afa086
倂	CJK COMPATIBILITY IDEOGRAPH-2F807 (U+2F807)	f0afa087
偺	CJK COMPATIBILITY IDEOGRAPH-2F808 (U+2F808)	f0afa088
備	CJK COMPATIBILITY IDEOGRAPH-2F809 (U+2F809)	f0afa089
僧	CJK COMPATIBILITY IDEOGRAPH-2F80A (U+2F80A)	f0afa08a
像	CJK COMPATIBILITY IDEOGRAPH-2F80B (U+2F80B)	f0afa08b
㒞	CJK COMPATIBILITY IDEOGRAPH-2F80C (U+2F80C)	f0afa08c
𠘺	CJK COMPATIBILITY IDEOGRAPH-2F80D (U+2F80D)	f0afa08d
免	CJK COMPATIBILITY IDEOGRAPH-2F80E (U+2F80E)	f0afa08e
兔	CJK COMPATIBILITY IDEOGRAPH-2F80F (U+2F80F)	f0afa08f
兤	CJK COMPATIBILITY IDEOGRAPH-2F810 (U+2F810)	f0afa090
具	CJK COMPATIBILITY IDEOGRAPH-2F811 (U+2F811)	f0afa091
𠔜	CJK COMPATIBILITY IDEOGRAPH-2F812 (U+2F812)	f0afa092
㒹	CJK COMPATIBILITY IDEOGRAPH-2F813 (U+2F813)	f0afa093
內	CJK COMPATIBILITY IDEOGRAPH-2F814 (U+2F814)	f0afa094
再	CJK COMPATIBILITY IDEOGRAPH-2F815 (U+2F815)	f0afa095
𠕋	CJK COMPATIBILITY IDEOGRAPH-2F816 (U+2F816)	f0afa096
冗	CJK COMPATIBILITY IDEOGRAPH-2F817 (U+2F817)	f0afa097
冤	CJK COMPATIBILITY IDEOGRAPH-2F818 (U+2F818)	f0afa098
仌	CJK COMPATIBILITY IDEOGRAPH-2F819 (U+2F819)	f0afa099
冬	CJK COMPATIBILITY IDEOGRAPH-2F81A (U+2F81A)	f0afa09a
况	CJK COMPATIBILITY IDEOGRAPH-2F81B (U+2F81B)	f0afa09b
𩇟	CJK COMPATIBILITY IDEOGRAPH-2F81C (U+2F81C)	f0afa09c
凵	CJK COMPATIBILITY IDEOGRAPH-2F81D (U+2F81D)	f0afa09d
刃	CJK COMPATIBILITY IDEOGRAPH-2F81E (U+2F81E)	f0afa09e
㓟	CJK COMPATIBILITY IDEOGRAPH-2F81F (U+2F81F)	f0afa09f
刻	CJK COMPATIBILITY IDEOGRAPH-2F820 (U+2F820)	f0afa0a0
剆	CJK COMPATIBILITY IDEOGRAPH-2F821 (U+2F821)	f0afa0a1
割	CJK COMPATIBILITY IDEOGRAPH-2F822 (U+2F822)	f0afa0a2
剷	CJK COMPATIBILITY IDEOGRAPH-2F823 (U+2F823)	f0afa0a3
㔕	CJK COMPATIBILITY IDEOGRAPH-2F824 (U+2F824)	f0afa0a4
勇	CJK COMPATIBILITY IDEOGRAPH-2F825 (U+2F825)	f0afa0a5
勉	CJK COMPATIBILITY IDEOGRAPH-2F826 (U+2F826)	f0afa0a6
勤	CJK COMPATIBILITY IDEOGRAPH-2F827 (U+2F827)	f0afa0a7
勺	CJK COMPATIBILITY IDEOGRAPH-2F828 (U+2F828)	f0afa0a8
包	CJK COMPATIBILITY IDEOGRAPH-2F829 (U+2F829)	f0afa0a9
匆	CJK COMPATIBILITY IDEOGRAPH-2F82A (U+2F82A)	f0afa0aa
北	CJK COMPATIBILITY IDEOGRAPH-2F82B (U+2F82B)	f0afa0ab
卉	CJK COMPATIBILITY IDEOGRAPH-2F82C (U+2F82C)	f0afa0ac
卑	CJK COMPATIBILITY IDEOGRAPH-2F82D (U+2F82D)	f0afa0ad
博	CJK COMPATIBILITY IDEOGRAPH-2F82E (U+2F82E)	f0afa0ae
即	CJK COMPATIBILITY IDEOGRAPH-2F82F (U+2F82F)	f0afa0af
卽	CJK COMPATIBILITY IDEOGRAPH-2F830 (U+2F830)	f0afa0b0
卿	CJK COMPATIBILITY IDEOGRAPH-2F831 (U+2F831)	f0afa0b1
卿	CJK COMPATIBILITY IDEOGRAPH-2F832 (U+2F832)	f0afa0b2
卿	CJK COMPATIBILITY IDEOGRAPH-2F833 (U+2F833)	f0afa0b3
𠨬	CJK COMPATIBILITY IDEOGRAPH-2F834 (U+2F834)	f0afa0b4
灰	CJK COMPATIBILITY IDEOGRAPH-2F835 (U+2F835)	f0afa0b5
及	CJK COMPATIBILITY IDEOGRAPH-2F836 (U+2F836)	f0afa0b6
叟	CJK COMPATIBILITY IDEOGRAPH-2F837 (U+2F837)	f0afa0b7
𠭣	CJK COMPATIBILITY IDEOGRAPH-2F838 (U+2F838)	f0afa0b8
叫	CJK COMPATIBILITY IDEOGRAPH-2F839 (U+2F839)	f0afa0b9
叱	CJK COMPATIBILITY IDEOGRAPH-2F83A (U+2F83A)	f0afa0ba
吆	CJK COMPATIBILITY IDEOGRAPH-2F83B (U+2F83B)	f0afa0bb
咞	CJK COMPATIBILITY IDEOGRAPH-2F83C (U+2F83C)	f0afa0bc
吸	CJK COMPATIBILITY IDEOGRAPH-2F83D (U+2F83D)	f0afa0bd
呈	CJK COMPATIBILITY IDEOGRAPH-2F83E (U+2F83E)	f0afa0be
周	CJK COMPATIBILITY IDEOGRAPH-2F83F (U+2F83F)	f0afa0bf
咢	CJK COMPATIBILITY IDEOGRAPH-2F840 (U+2F840)	f0afa180
哶	CJK COMPATIBILITY IDEOGRAPH-2F841 (U+2F841)	f0afa181
唐	CJK COMPATIBILITY IDEOGRAPH-2F842 (U+2F842)	f0afa182
啓	CJK COMPATIBILITY IDEOGRAPH-2F843 (U+2F843)	f0afa183
啣	CJK COMPATIBILITY IDEOGRAPH-2F844 (U+2F844)	f0afa184
善	CJK COMPATIBILITY IDEOGRAPH-2F845 (U+2F845)	f0afa185
善	CJK COMPATIBILITY IDEOGRAPH-2F846 (U+2F846)	f0afa186
喙	CJK COMPATIBILITY IDEOGRAPH-2F847 (U+2F847)	f0afa187
喫	CJK COMPATIBILITY IDEOGRAPH-2F848 (U+2F848)	f0afa188
喳	CJK COMPATIBILITY IDEOGRAPH-2F849 (U+2F849)	f0afa189
嗂	CJK COMPATIBILITY IDEOGRAPH-2F84A (U+2F84A)	f0afa18a
圖	CJK COMPATIBILITY IDEOGRAPH-2F84B (U+2F84B)	f0afa18b
嘆	CJK COMPATIBILITY IDEOGRAPH-2F84C (U+2F84C)	f0afa18c
圗	CJK COMPATIBILITY IDEOGRAPH-2F84D (U+2F84D)	f0afa18d
噑	CJK COMPATIBILITY IDEOGRAPH-2F84E (U+2F84E)	f0afa18e
噴	CJK COMPATIBILITY IDEOGRAPH-2F84F (U+2F84F)	f0afa18f
切	CJK COMPATIBILITY IDEOGRAPH-2F850 (U+2F850)	f0afa190
壮	CJK COMPATIBILITY IDEOGRAPH-2F851 (U+2F851)	f0afa191
城	CJK COMPATIBILITY IDEOGRAPH-2F852 (U+2F852)	f0afa192
埴	CJK COMPATIBILITY IDEOGRAPH-2F853 (U+2F853)	f0afa193
堍	CJK COMPATIBILITY IDEOGRAPH-2F854 (U+2F854)	f0afa194
型	CJK COMPATIBILITY IDEOGRAPH-2F855 (U+2F855)	f0afa195
堲	CJK COMPATIBILITY IDEOGRAPH-2F856 (U+2F856)	f0afa196
報	CJK COMPATIBILITY IDEOGRAPH-2F857 (U+2F857)	f0afa197
墬	CJK COMPATIBILITY IDEOGRAPH-2F858 (U+2F858)	f0afa198
𡓤	CJK COMPATIBILITY IDEOGRAPH-2F859 (U+2F859)	f0afa199
売	CJK COMPATIBILITY IDEOGRAPH-2F85A (U+2F85A)	f0afa19a
壷	CJK COMPATIBILITY IDEOGRAPH-2F85B (U+2F85B)	f0afa19b
夆	CJK COMPATIBILITY IDEOGRAPH-2F85C (U+2F85C)	f0afa19c
多	CJK COMPATIBILITY IDEOGRAPH-2F85D (U+2F85D)	f0afa19d
夢	CJK COMPATIBILITY IDEOGRAPH-2F85E (U+2F85E)	f0afa19e
奢	CJK COMPATIBILITY IDEOGRAPH-2F85F (U+2F85F)	f0afa19f
𡚨	CJK COMPATIBILITY IDEOGRAPH-2F860 (U+2F860)	f0afa1a0
𡛪	CJK COMPATIBILITY IDEOGRAPH-2F861 (U+2F861)	f0afa1a1
姬	CJK COMPATIBILITY IDEOGRAPH-2F862 (U+2F862)	f0afa1a2
娛	CJK COMPATIBILITY IDEOGRAPH-2F863 (U+2F863)	f0afa1a3
娧	CJK COMPATIBILITY IDEOGRAPH-2F864 (U+2F864)	f0afa1a4
姘	CJK COMPATIBILITY IDEOGRAPH-2F865 (U+2F865)	f0afa1a5
婦	CJK COMPATIBILITY IDEOGRAPH-2F866 (U+2F866)	f0afa1a6
㛮	CJK COMPATIBILITY IDEOGRAPH-2F867 (U+2F867)	f0afa1a7
㛼	CJK COMPATIBILITY IDEOGRAPH-2F868 (U+2F868)	f0afa1a8
嬈	CJK COMPATIBILITY IDEOGRAPH-2F869 (U+2F869)	f0afa1a9
嬾	CJK COMPATIBILITY IDEOGRAPH-2F86A (U+2F86A)	f0afa1aa
嬾	CJK COMPATIBILITY IDEOGRAPH-2F86B (U+2F86B)	f0afa1ab
𡧈	CJK COMPATIBILITY IDEOGRAPH-2F86C (U+2F86C)	f0afa1ac
寃	CJK COMPATIBILITY IDEOGRAPH-2F86D (U+2F86D)	f0afa1ad
寘	CJK COMPATIBILITY IDEOGRAPH-2F86E (U+2F86E)	f0afa1ae
寧	CJK COMPATIBILITY IDEOGRAPH-2F86F (U+2F86F)	f0afa1af
寳	CJK COMPATIBILITY IDEOGRAPH-2F870 (U+2F870)	f0afa1b0
𡬘	CJK COMPATIBILITY IDEOGRAPH-2F871 (U+2F871)	f0afa1b1
寿	CJK COMPATIBILITY IDEOGRAPH-2F872 (U+2F872)	f0afa1b2
将	CJK COMPATIBILITY IDEOGRAPH-2F873 (U+2F873)	f0afa1b3
当	CJK COMPATIBILITY IDEOGRAPH-2F874 (U+2F874)	f0afa1b4
尢	CJK COMPATIBILITY IDEOGRAPH-2F875 (U+2F875)	f0afa1b5
㞁	CJK COMPATIBILITY IDEOGRAPH-2F876 (U+2F876)	f0afa1b6
屠	CJK COMPATIBILITY IDEOGRAPH-2F877 (U+2F877)	f0afa1b7
屮	CJK COMPATIBILITY IDEOGRAPH-2F878 (U+2F878)	f0afa1b8
峀	CJK COMPATIBILITY IDEOGRAPH-2F879 (U+2F879)	f0afa1b9
岍	CJK COMPATIBILITY IDEOGRAPH-2F87A (U+2F87A)	f0afa1ba
𡷤	CJK COMPATIBILITY IDEOGRAPH-2F87B (U+2F87B)	f0afa1bb
嵃	CJK COMPATIBILITY IDEOGRAPH-2F87C (U+2F87C)	f0afa1bc
𡷦	CJK COMPATIBILITY IDEOGRAPH-2F87D (U+2F87D)	f0afa1bd
嵮	CJK COMPATIBILITY IDEOGRAPH-2F87E (U+2F87E)	f0afa1be
嵫	CJK COMPATIBILITY IDEOGRAPH-2F87F (U+2F87F)	f0afa1bf
嵼	CJK COMPATIBILITY IDEOGRAPH-2F880 (U+2F880)	f0afa280
巡	CJK COMPATIBILITY IDEOGRAPH-2F881 (U+2F881)	f0afa281
巢	CJK COMPATIBILITY IDEOGRAPH-2F882 (U+2F882)	f0afa282
㠯	CJK COMPATIBILITY IDEOGRAPH-2F883 (U+2F883)	f0afa283
巽	CJK COMPATIBILITY IDEOGRAPH-2F884 (U+2F884)	f0afa284
帨	CJK COMPATIBILITY IDEOGRAPH-2F885 (U+2F885)	f0afa285
帽	CJK COMPATIBILITY IDEOGRAPH-2F886 (U+2F886)	f0afa286
幩	CJK COMPATIBILITY IDEOGRAPH-2F887 (U+2F887)	f0afa287
㡢	CJK COMPATIBILITY IDEOGRAPH-2F888 (U+2F888)	f0afa288
𢆃	CJK COMPATIBILITY IDEOGRAPH-2F889 (U+2F889)	f0afa289
㡼	CJK COMPATIBILITY IDEOGRAPH-2F88A (U+2F88A)	f0afa28a
庰	CJK COMPATIBILITY IDEOGRAPH-2F88B (U+2F88B)	f0afa28b
庳	CJK COMPATIBILITY IDEOGRAPH-2F88C (U+2F88C)	f0afa28c
庶	CJK COMPATIBILITY IDEOGRAPH-2F88D (U+2F88D)	f0afa28d
廊	CJK COMPATIBILITY IDEOGRAPH-2F88E (U+2F88E)	f0afa28e
𪎒	CJK COMPATIBILITY IDEOGRAPH-2F88F (U+2F88F)	f0afa28f
廾	CJK COMPATIBILITY IDEOGRAPH-2F890 (U+2F890)	f0afa290
𢌱	CJK COMPATIBILITY IDEOGRAPH-2F891 (U+2F891)	f0afa291
𢌱	CJK COMPATIBILITY IDEOGRAPH-2F892 (U+2F892)	f0afa292
舁	CJK COMPATIBILITY IDEOGRAPH-2F893 (U+2F893)	f0afa293
弢	CJK COMPATIBILITY IDEOGRAPH-2F894 (U+2F894)	f0afa294
