𩽯	U+29F6F (U+29F6F)	f0a9bdaf
𪍋	U+2A34B (U+2A34B)	f0aa8d8b
𪍌	U+2A34C (U+2A34C)	f0aa8d8c
𪍍	U+2A34D (U+2A34D)	f0aa8d8d
𪍎	U+2A34E (U+2A34E)	f0aa8d8e
𪍏	U+2A34F (U+2A34F)	f0aa8d8f
𪍐	U+2A350 (U+2A350)	f0aa8d90
𪍑	U+2A351 (U+2A351)	f0aa8d91
𪍒	U+2A352 (U+2A352)	f0aa8d92
𪍓	U+2A353 (U+2A353)	f0aa8d93
𪍔	U+2A354 (U+2A354)	f0aa8d94
𪍕	U+2A355 (U+2A355)	f0aa8d95
𪍖	U+2A356 (U+2A356)	f0aa8d96
𪍗	U+2A357 (U+2A357)	f0aa8d97
𪍘	U+2A358 (U+2A358)	f0aa8d98
𪍙	U+2A359 (U+2A359)	f0aa8d99
𪍚	U+2A35A (U+2A35A)	f0aa8d9a
𪍛	U+2A35B (U+2A35B)	f0aa8d9b
𪍜	U+2A35C (U+2A35C)	f0aa8d9c
𪍝	U+2A35D (U+2A35D)	f0aa8d9d
𪍞	U+2A35E (U+2A35E)	f0aa8d9e
𪍟	U+2A35F (U+2A35F)	f0aa8d9f
𪍠	U+2A360 (U+2A360)	f0aa8da0
𪍡	U+2A361 (U+2A361)	f0aa8da1
𪍢	U+2A362 (U+2A362)	f0aa8da2
𪍣	U+2A363 (U+2A363)	f0aa8da3
𪍤	U+2A364 (U+2A364)	f0aa8da4
𪍥	U+2A365 (U+2A365)	f0aa8da5
𪍦	U+2A366 (U+2A366)	f0aa8da6
𪍧	U+2A367 (U+2A367)	f0aa8da7
𪍨	U+2A368 (U+2A368)	f0aa8da8
𪍩	U+2A369 (U+2A369)	f0aa8da9
𪍪	U+2A36A (U+2A36A)	f0aa8daa
𪍫	U+2A36B (U+2A36B)	f0aa8dab
𪍬	U+2A36C (U+2A36C)	f0aa8dac
𪍭	U+2A36D (U+2A36D)	f0aa8dad
𪍮	U+2A36E (U+2A36E)	f0aa8dae
