𪍯	U+2A36F (U+2A36F)	f0aa8daf
𪝰	U+2A770 (U+2A770)	f0aa9db0
𪝱	U+2A771 (U+2A771)	f0aa9db1
𪝲	U+2A772 (U+2A772)	f0aa9db2
𪝳	U+2A773 (U+2A773)	f0aa9db3
𪝴	U+2A774 (U+2A774)	f0aa9db4
𪝵	U+2A775 (U+2A775)	f0aa9db5
𪝶	U+2A776 (U+2A776)	f0aa9db6
𪝷	U+2A777 (U+2A777)	f0aa9db7
𪝸	U+2A778 (U+2A778)	f0aa9db8
𪝹	U+2A779 (U+2A779)	f0aa9db9
𪝺	U+2A77A (U+2A77A)	f0aa9dba
𪝻	U+2A77B (U+2A77B)	f0aa9dbb
𪝼	U+2A77C (U+2A77C)	f0aa9dbc
𪝽	U+2A77D (U+2A77D)	f0aa9dbd
𪝾	U+2A77E (U+2A77E)	f0aa9dbe
𪝿	U+2A77F (U+2A77F)	f0aa9dbf
𪞀	U+2A780 (U+2A780)	f0aa9e80
𪞁	U+2A781 (U+2A781)	f0aa9e81
𪞂	U+2A782 (U+2A782)	f0aa9e82
𪞃	U+2A783 (U+2A783)	f0aa9e83
𪞄	U+2A784 (U+2A784)	f0aa9e84
𪞅	U+2A785 (U+2A785)	f0aa9e85
𪞆	U+2A786 (U+2A786)	f0aa9e86
𪞇	U+2A787 (U+2A787)	f0aa9e87
𪞈	U+2A788 (U+2A788)	f0aa9e88
𪞉	U+2A789 (U+2A789)	f0aa9e89
𪞊	U+2A78A (U+2A78A)	f0aa9e8a
𪞋	U+2A78B (U+2A78B)	f0aa9e8b
𪞌	U+2A78C (U+2A78C)	f0aa9e8c
𪞍	U+2A78D (U+2A78D)	f0aa9e8d
𪞎	U+2A78E (U+2A78E)	f0aa9e8e
𪞏	U+2A78F (U+2A78F)	f0aa9e8f
𪞐	U+2A790 (U+2A790)	f0aa9e90
𪞑	U+2A791 (U+2A791)	f0aa9e91
𪞒	U+2A792 (U+2A792)	f0aa9e92
𪞓	U+2A793 (U+2A793)	f0aa9e93
𪞔	U+2A794 (U+2A794)	f0aa9e94
𪞕	U+2A795 (U+2A795)	f0aa9e95
𪞖	U+2A796 (U+2A796)	f0aa9e96
𪞗	U+2A797 (U+2A797)	f0aa9e97
