𧭯	U+27B6F (U+27B6F)	f0a7adaf
𧽒	U+27F52 (U+27F52)	f0a7bd92
𧽓	U+27F53 (U+27F53)	f0a7bd93
𧽔	U+27F54 (U+27F54)	f0a7bd94
𧽕	U+27F55 (U+27F55)	f0a7bd95
𧽖	U+27F56 (U+27F56)	f0a7bd96
𧽗	U+27F57 (U+27F57)	f0a7bd97
𧽘	U+27F58 (U+27F58)	f0a7bd98
𧽙	U+27F59 (U+27F59)	f0a7bd99
𧽚	U+27F5A (U+27F5A)	f0a7bd9a
𧽛	U+27F5B (U+27F5B)	f0a7bd9b
𧽜	U+27F5C (U+27F5C)	f0a7bd9c
𧽝	U+27F5D (U+27F5D)	f0a7bd9d
𧽞	U+27F5E (U+27F5E)	f0a7bd9e
𧽟	U+27F5F (U+27F5F)	f0a7bd9f
𧽠	U+27F60 (U+27F60)	f0a7bda0
𧽡	U+27F61 (U+27F61)	f0a7bda1
𧽢	U+27F62 (U+27F62)	f0a7bda2
𧽣	U+27F63 (U+27F63)	f0a7bda3
𧽤	U+27F64 (U+27F64)	f0a7bda4
𧽥	U+27F65 (U+27F65)	f0a7bda5
𧽦	U+27F66 (U+27F66)	f0a7bda6
𧽧	U+27F67 (U+27F67)	f0a7bda7
𧽨	U+27F68 (U+27F68)	f0a7bda8
𧽩	U+27F69 (U+27F69)	f0a7bda9
𧽪	U+27F6A (U+27F6A)	f0a7bdaa
𧽫	U+27F6B (U+27F6B)	f0a7bdab
𧽬	U+27F6C (U+27F6C)	f0a7bdac
𧽭	U+27F6D (U+27F6D)	f0a7bdad
𧽮	U+27F6E (U+27F6E)	f0a7bdae
